TAROMAYA Booklet AI — supplied category/card knowledge. Strict categories. Format: Category | Card | English | Roman Hindi.
DIVORCE / SEPARATION | Justice | Divorce / Legal Separation | Talāq / Kanooni Judai
DIVORCE / SEPARATION | The Tower | Sudden Separation | Achanak Rishta Tootna
DIVORCE / SEPARATION | 10 of Swords | Marriage Ending | Shaadi Ka Ant
DIVORCE / SEPARATION | 8 of Cups | Walking Away | Rishta Chhod Kar Aage Badhna
DIVORCE / SEPARATION | 5 of Cups | Divorce Pain / Regret | Judai Ka Dukh / Pachtawa
DIVORCE / SEPARATION | 2 of Swords | Divorce Decision Pending | Talāq Ka Faisla Abhi Atka Hai
DIVORCE / SEPARATION | The Hanged Man | Divorce Delayed | Talāq Mein Der
DIVORCE / SEPARATION | 5 of Wands | Marital Conflict | Shaadi Mein Bahut Takkar
DIVORCE / SEPARATION | 3 of Swords | Heartbreak / Separation | Dil Tootna / Judai
DIVORCE / SEPARATION | 6 of Swords | Moving Away After Separation | Judai Ke Baad Door Jaana
DIVORCE / SEPARATION | Judgement | Final Divorce Decision | Talāq Ka Aakhri Faisla
DIVORCE / SEPARATION | The World | Marriage Chapter Closed | Shaadi Ka Chapter Poora Khatam
DIVORCE / SEPARATION | Temperance | Separation Can Be Healed | Rishta Sambhalne Ki Gunjaish
DIVORCE / SEPARATION | 2 of Cups | Reconciliation After Separation | Judai Ke Baad Patch-Up
DIVORCE / SEPARATION | The Hermit | Living Separately | Alag-Alag Rehna
DIVORCE / SEPARATION | Queen of Swords | Independent After Divorce | Talāq Ke Baad Apni Zindagi Khud Sambhalna
DIVORCE / SEPARATION | King of Swords | Legal / Formal Decision | Kanooni Aur Formal Faisla
DIVORCE / SEPARATION | 6 of Pentacles | Financial Settlement | Paise / Settlement Ka Bantwara
DIVORCE / SEPARATION | 10 of Pentacles | Property / Family Settlement | Khandani Property Ka Settlement
DIVORCE / SEPARATION | The Star | Healing After Divorce | Talāq Ke Baad Dheere Dheere Healing
Negative Energy | 7 of Swords | Evil Eye | Buri Nazar
Negative Energy | The Moon | Hidden Enemy | Chhupa Dushman
Negative Energy | The Devil | Heavy Negative Energy | Bahut Heavy Negative Energy
Negative Energy | The Tower | Sudden Shock | Achanak Jhatka
Negative Energy | 10 of Swords | Major Betrayal | Bada Dhokha
Negative Energy | 9 of Swords | Mental Fear | Dimaag Ka Darr
Negative Energy | 8 of Swords | Feeling Trapped | Fasa Hua Mehsoos Karna
Negative Energy | 5 of Pentacles | Weak Aura | Kamzor Aura
Third Party | 3 of Swords | Third Person Interference | Teesre Vyakti Ka Dakhal
Third Party | The Lovers | Choice Between Two | Do Mein Se Chunav
Third Party | 7 of Cups | Confusion Due To Options | Options Ki Wajah Se Confusion
Third Party | The Moon | Hidden Person Involved | Koi Chhupa Vyakti Shamil
Third Party | Queen of Swords | Another Woman Involved | Koi Doosri Stri Shamil
Third Party | Knight of Wands | Another Man Involved | Koi Doosra Purush Shamil
Third Party | 5 of Swords | Conflict Over The Person | Vyakti Ko Lekar Takraar
Love & Relationship | The Lovers | Deep Love Connection | Gehra Prem Sambandh
Love & Relationship | 2 of Cups | Mutual Feelings | Dono Taraf Se Feelings
Love & Relationship | 10 of Cups | Happy Relationship | Khush Rishta
Love & Relationship | Ace of Cups | New Love Beginning | Naye Pyar Ki Shuruaat
Love & Relationship | Knight of Cups | Romantic Proposal | Romantic Prastav
Love & Relationship | The Empress | Nurturing Love | Sambhalne Wala Pyar
Love & Relationship | 3 of Swords | Heartbreak | Dil Tootna
Love & Relationship | 5 of Cups | Emotional Disappointment | Bhavnatmak Nirasha
Love & Relationship | 4 of Cups | Emotional Distance | Bhavnatmak Doori
Love & Relationship | The Hierophant | Traditional Committed Bond | Paramparik Committed Rishta
Commitment & Marriage | The Hierophant | Marriage / Formal Commitment | Shaadi / Aupcharik Commitment
Commitment & Marriage | 4 of Wands | Wedding Celebration | Shaadi Ka Utsav
Commitment & Marriage | 10 of Cups | Family Happiness After Marriage | Shaadi Ke Baad Parivarik Khushi
Commitment & Marriage | 2 of Cups | Engagement / Mutual Promise | Sagai / Aapsi Vaada
Commitment & Marriage | The World | Completion Of Commitment | Commitment Poora Hona
Commitment & Marriage | 7 of Cups | Undecided About Commitment | Commitment Par Faisla Nahi
Commitment & Marriage | The Hanged Man | Delay In Marriage | Shaadi Mein Der
Commitment & Marriage | 2 of Swords | Decision Pending | Faisla Baaki Hai
Commitment & Marriage | 8 of Cups | Walking Away From Commitment | Commitment Chhod Dena
Ex & Reconciliation | 6 of Cups | Return Of The Past | Purana Wapas Aana
Ex & Reconciliation | The Wheel of Fortune | Cycle Repeating | Chakra Dobara Ghoomna
Ex & Reconciliation | Judgement | Second Chance | Doosra Mauka
Ex & Reconciliation | Knight of Cups | Ex Reaching Out | Ex Sampark Karega
Ex & Reconciliation | 8 of Cups | Moving On | Aage Badh Jana
Ex & Reconciliation | The Tower | Permanent Break | Sthayi Alagav
Ex & Reconciliation | 5 of Cups | Regret Over The Past | Beete Par Pachhtava
Ex & Reconciliation | Temperance | Slow Healing Reunion | Dheere Dheere Judav
Pregnancy & Baby | The Empress | Pregnancy / Fertility | Garbhdharan / Prajnan Shakti
Pregnancy & Baby | Ace of Cups | New Life Beginning | Naye Jeevan Ki Shuruaat
Pregnancy & Baby | Ace of Wands | Conception Energy | Garbhdharan Ki Urja
Pregnancy & Baby | The Sun | Healthy Baby | Swasth Shishu
Pregnancy & Baby | The Star | Hope And Blessing | Umeed Aur Aashirvaad
Pregnancy & Baby | 10 of Cups | Family Completion | Parivar Poora Hona
Pregnancy & Baby | Page of Cups | News Of A Child | Bachche Ki Khabar
Pregnancy & Baby | The High Priestess | Not Yet Revealed | Abhi Zahir Nahi Hua
Pregnancy & Baby | The Hanged Man | Delay In Conception | Garbhdharan Mein Der
Pregnancy & Baby | 4 of Swords | Rest Advised | Aaram Ki Salah
Pregnancy & Baby | The Hierophant | Medical Guidance Needed | Doctor Ki Salah Zaruri
Pregnancy & Baby | 5 of Cups | Loss Or Sorrow | Nuksan Ya Dukh
Health & Well-being | The Sun | Health Improving | Health Mein Sudhaar
